"Date","Province","Deaths"
2020-06-24,"FS",9
2020-06-25,"FS",9
2020-06-26,"FS",9
2020-06-27,"FS",9
2020-06-28,"FS",9
2020-06-29,"FS",9
2020-06-30,"FS",9
2020-07-01,"FS",9
2020-07-02,"FS",9
2020-07-03,"FS",9
2020-07-04,"FS",9
2020-07-05,"FS",19
2020-07-06,"FS",19
2020-07-07,"FS",19
2020-07-08,"FS",19
2020-07-09,"FS",19
2020-07-10,"FS",19
2020-07-11,"FS",19
2020-07-12,"FS",19
2020-07-13,"FS",35
2020-07-14,"FS",35
2020-07-15,"FS",35
2020-07-16,"FS",45
2020-07-17,"FS",47
2020-07-18,"FS",47
2020-07-19,"FS",47
2020-07-20,"FS",57
2020-07-21,"FS",57
2020-07-22,"FS",62
2020-07-23,"FS",62
2020-07-24,"FS",63
2020-07-25,"FS",63
2020-07-26,"FS",63
2020-07-27,"FS",154
2020-07-28,"FS",154
2020-07-29,"FS",154
2020-07-30,"FS",154
2020-07-31,"FS",154
2020-08-01,"FS",154
2020-08-02,"FS",205
2020-08-03,"FS",205
2020-08-04,"FS",205
2020-08-05,"FS",327
2020-03-27,"GP",0
2020-03-28,"GP",0
2020-03-30,"GP",0
2020-03-31,"GP",1
2020-04-03,"GP",1
2020-04-05,"GP",1
2020-04-06,"GP",1
2020-04-07,"GP",1
2020-04-08,"GP",3
2020-04-09,"GP",3
2020-04-10,"GP",3
2020-04-11,"GP",3
2020-04-12,"GP",3
2020-04-13,"GP",4
2020-04-14,"GP",4
2020-04-15,"GP",5
2020-04-16,"GP",6
2020-04-17,"GP",6
2020-04-18,"GP",6
2020-04-19,"GP",6
2020-04-20,"GP",7
2020-04-21,"GP",7
2020-04-22,"GP",7
2020-04-23,"GP",8
2020-04-24,"GP",8
2020-04-25,"GP",8
2020-04-26,"GP",8
2020-04-27,"GP",8
2020-04-28,"GP",8
2020-04-29,"GP",11
2020-04-30,"GP",11
2020-05-01,"GP",11
2020-05-02,"GP",12
2020-05-03,"GP",14
2020-05-04,"GP",14
2020-05-05,"GP",15
2020-05-06,"GP",15
2020-05-07,"GP",15
2020-05-08,"GP",18
2020-05-09,"GP",19
2020-05-10,"GP",22
2020-05-11,"GP",22
2020-05-12,"GP",22
2020-05-13,"GP",24
2020-05-14,"GP",24
2020-05-15,"GP",24
2020-05-16,"GP",25
2020-05-17,"GP",25
2020-05-18,"GP",26
2020-05-19,"GP",27
2020-05-20,"GP",27
2020-05-21,"GP",27
2020-05-22,"GP",29
2020-05-23,"GP",29
2020-05-24,"GP",29
2020-05-25,"GP",30
2020-05-26,"GP",31
2020-05-27,"GP",31
2020-05-28,"GP",31
2020-05-29,"GP",31
2020-05-30,"GP",31
2020-05-31,"GP",33
2020-06-01,"GP",33
2020-06-02,"GP",33
2020-06-03,"GP",33
2020-06-04,"GP",33
2020-06-05,"GP",40
2020-06-06,"GP",47
2020-06-07,"GP",47
2020-06-08,"GP",47
2020-06-09,"GP",57
2020-06-10,"GP",57
2020-06-11,"GP",57
2020-06-12,"GP",57
2020-06-13,"GP",81
2020-06-14,"GP",81
2020-06-15,"GP",87
2020-06-16,"GP",87
2020-06-17,"GP",87
2020-06-18,"GP",87
2020-06-19,"GP",114
2020-06-20,"GP",114
2020-06-21,"GP",122
2020-06-22,"GP",122
2020-06-23,"GP",122
2020-06-24,"GP",147
2020-06-25,"GP",149
